what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360704110782
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360704128999
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360704133901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360704134680
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1360704134685
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360704134813
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360704136326
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1360704140126
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360704142621
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360704162854
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1360704168673
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360704174372
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360704317487
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360704320052
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360704330886
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360704332456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360704333493
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360704334642
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360704345539
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1360704348521
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1360704392097
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1360704394524
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1360704395245
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1360704400071
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1360704401586
